roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch,ripIMU_roll,ripIMU_pitch,ripRoll_des,ripPitch_des
-46.5903,15.3932,-6.4520,0.0829,0.3283,0.2400,0.0600,0.3200,0.0000,0.1097,-0.0337,0.0006,997,1503,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,2.3264,-0.1734,0.0470,-0.0562,-0.1257,0.9943,0.1440,-0.0765,-0.1429,0.0754,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,16.1740,50.6366,0.0400,0.0100
-46.5276,15.3840,-6.4405,0.0829,0.2462,0.1200,0.0000,0.0000,0.0000,0.1092,-0.0338,-0.0013,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,2.5065,-0.2125,0.0202,-0.0559,-0.1247,0.9962,0.1417,-0.0741,-0.1443,0.0767,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,16.2157,50.6742,0.0200,0.0000
-46.4639,15.3745,-6.4281,0.1657,0.4104,0.1200,0.0000,0.0000,0.0000,0.1091,-0.0338,-0.0015,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,2.5278,-0.3065,0.1161,-0.0572,-0.1231,0.9945,0.1413,-0.0738,-0.1443,0.0768,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,16.2575,50.7118,0.0200,0.0000
-46.3994,15.3656,-6.4159,0.0000,0.3283,0.1200,0.0000,0.0000,0.0000,0.1089,-0.0338,-0.0018,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,2.6322,-0.1769,0.1882,-0.0545,-0.1227,0.9913,0.1409,-0.0733,-0.1445,0.0769,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,16.2993,50.7495,0.0200,0.0000
-46.3345,15.3576,-6.4038,0.0000,0.1642,0.1200,0.0000,0.0000,0.0000,0.1087,-0.0338,-0.0018,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,2.6785,-0.1163,0.1905,-0.0548,-0.1212,0.9964,0.1407,-0.0731,-0.1443,0.0767,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,16.3411,50.7871,0.0200,0.0000
-46.2685,15.3500,-6.3920,0.1657,0.1642,0.1200,0.0000,0.0000,0.0000,0.1085,-0.0338,-0.0020,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,2.8309,-0.0289,0.2363,-0.0559,-0.1263,0.9951,0.1404,-0.0727,-0.1443,0.0766,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,16.3830,50.8248,0.0200,0.0000
-46.2006,15.3435,-6.3809,0.0829,0.0821,0.2400,0.0600,0.3200,0.0000,0.1085,-0.0338,-0.0000,997,1503,1500,1500,2008,1000,1505,1000,1000,1982,1370,1699,1016,3.0710,0.1559,0.2120,-0.0551,-0.1218,0.9969,0.1423,-0.0748,-0.1423,0.0748,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.0000,-0.0080,-3.5514,-259.0000,-0.0080,16.4248,50.8624,0.0400,0.0100
-46.1297,15.3378,-6.3707,0.0829,0.2462,0.1200,0.0000,0.0000,0.0000,0.1079,-0.0339,-0.0018,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,3.4517,0.2549,0.1941,-0.0568,-0.1270,0.9978,0.1400,-0.0722,-0.1436,0.0758,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,16.4667,50.9000,0.0200,0.0000
-46.0549,15.3328,-6.3624,-0.2486,-0.0000,0.1200,0.0000,0.0000,0.0000,0.1076,-0.0339,-0.0018,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,3.9070,0.3448,0.1824,-0.0528,-0.1276,0.9971,0.1397,-0.0718,-0.1433,0.0754,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,16.5086,50.9376,0.0200,0.0000
-45.9751,15.3278,-6.3550,0.0829,0.3283,0.1200,0.0000,0.0000,0.0000,0.1072,-0.0340,-0.0013,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,4.4236,0.4796,0.0185,-0.0504,-0.1284,0.9969,0.1399,-0.0719,-0.1424,0.0744,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,16.5504,50.9752,0.0200,0.0000
-45.8898,15.3235,-6.3484,-0.1657,-0.0000,0.1200,0.0000,0.0000,0.0000,0.1067,-0.0340,-0.0016,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,4.9613,0.5447,0.1220,-0.0562,-0.1250,0.9945,0.1392,-0.0711,-0.1423,0.0743,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,16.5923,51.0127,0.0200,0.0000
-45.8002,15.3203,-6.3429,0.0829,0.2462,0.1200,0.0000,0.0000,0.0000,0.1064,-0.0341,-0.0015,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,5.3461,0.6507,0.0825,-0.0574,-0.1210,0.9964,0.1389,-0.0708,-0.1419,0.0738,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,16.6343,51.0503,0.0200,0.0000
-45.7073,15.3173,-6.3378,0.0829,0.0821,0.2400,0.0600,0.3200,0.0000,0.1063,-0.0339,0.0003,997,1503,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,5.5423,0.7077,0.1174,-0.0564,-0.1198,0.9962,0.1406,-0.0727,-0.1400,0.0721,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,16.6762,51.0878,0.0400,0.0100
-45.6132,15.3145,-6.3330,0.1657,0.1642,0.1200,0.0000,0.0000,0.0000,0.1058,-0.0341,-0.0015,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,5.6547,0.7204,0.0786,-0.0558,-0.1169,0.9910,0.1384,-0.0703,-0.1414,0.0732,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,16.7182,51.1254,0.0200,0.0000
-45.5187,15.3123,-6.3280,0.0829,0.3283,0.1200,0.0000,0.0000,0.0000,0.1056,-0.0341,-0.0016,996,1502,1500,1500,2008,1000,1505,1000,1000,1982,1371,1699,1016,5.6027,0.7735,0.1241,-0.0570,-0.1147,0.9918,0.1381,-0.0699,-0.1413,0.0732,0.2204,0.0300,0.0438,0.2204,0.0300,0.0438,0.3000,0.0600,0.0002,0,-3.5514,-259.7000,-0.0080,-3.5514,-259.7000,-0.0080,16.7601,51.1630,0.0200,0.0000
