roll_imu,pitch_imu,yaw_imu,alpha,beta,roll_des,pitch_des,yaw_des,throttle_des,roll_pid,pitch_pid,yaw_pid,radio_ch1,radio_ch2,radio_ch3,radio_ch4,radio_ch5,radio_ch6,radio_ch7,radio_ch8,radio_ch9,radio_ch10,radio_ch11,radio_ch12,radio_ch13,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,s1_command,s2_command,s3_command,s4_command,kp_roll,ki_roll,kd_roll,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,failsafeTriggered,kp_alphaRoll,ki_alphaRoll,kd_alphaRoll,kp_betaPitch,ki_betaPitch,kd_betaPitch,ripIMU_roll,ripIMU_pitch,ripRoll_des,ripPitch_des,error_alphaRoll,integral_alphaRoll,derivative_alphaRoll,error_betaPitch,integral_betaPitch,derivative_betaPitch
39.2957,34.2662,12.6832,-0.0829,-0.0821,0.1200,1.6200,0.6400,0.0000,-0.3980,-0.2816,0.0015,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1014,1014,0.0219,-0.0264,-0.0135,-0.0213,0.0135,0.9982,-0.1149,0.6781,0.1179,-0.6811,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5060,-4.9083,-256.2000,-0.5060,32.0869,40.8148,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.2616,34.2464,12.6633,-0.0829,0.0000,0.1200,1.6200,0.6400,0.0000,-0.3978,-0.2815,0.0015,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1014,1014,0.0953,-0.0044,-0.0164,-0.0187,0.0152,0.9961,-0.1148,0.6777,0.1179,-0.6808,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5060,-4.9083,-256.2000,-0.5060,32.0554,40.7887,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.2272,34.2267,12.6432,-0.1657,-0.0821,0.1800,1.6200,0.6400,0.0000,-0.3970,-0.2812,0.0016,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1013,1014,0.0976,-0.0422,-0.0364,-0.0202,0.0137,0.9986,-0.1142,0.6767,0.1173,-0.6798,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5040,-4.9083,-256.2000,-0.5040,32.0243,40.7632,0.0300,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.1926,34.2072,12.6229,0.0000,0.0000,0.1200,1.6200,0.6400,0.0000,-0.3972,-0.2812,0.0016,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1013,1014,0.0641,0.0158,-0.0389,-0.0195,0.0153,0.9980,-0.1145,0.6768,0.1176,-0.6799,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5040,-4.9083,-256.2000,-0.5040,31.9932,40.7371,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.1581,34.1875,12.6029,-0.0829,-0.0821,0.1200,1.6200,0.6400,0.0000,-0.3969,-0.2810,0.0015,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1013,1014,0.1054,0.0035,-0.0018,-0.0200,0.0173,0.9962,-0.1145,0.6764,0.1174,-0.6793,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5040,-4.9083,-256.2000,-0.5040,31.9622,40.7112,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.1242,34.1673,12.5837,-0.0829,0.0821,0.1200,1.6200,0.6400,0.0000,-0.3966,-0.2809,0.0014,996,1502,1527,1502,2008,1000,1505,1000,1000,1004,1005,1013,1014,0.0881,0.0492,0.0167,-0.0206,0.0141,0.9957,-0.1143,0.6760,0.1172,-0.6789,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9280,-256.2000,-0.5040,-4.9280,-256.2000,-0.5040,31.9306,40.6850,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.0902,34.1471,12.5639,-0.1657,-0.0821,0.1200,1.6200,0.6400,0.0000,-0.3964,-0.2806,0.0018,996,1502,1527,1502,2008,1000,1505,1000,1000,1004,1005,1013,1014,0.1182,0.0221,-0.0735,-0.0222,0.0137,0.9975,-0.1140,0.6752,0.1175,-0.6788,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9280,-256.2000,-0.5040,-4.9280,-256.2000,-0.5040,31.8996,40.6595,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.0556,34.1269,12.5434,-0.0829,0.0000,0.1200,1.6200,0.6400,0.0000,-0.3960,-0.2804,0.0015,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1013,1014,0.1062,-0.0603,-0.0086,-0.0184,0.0153,0.9977,-0.1142,0.6749,0.1172,-0.6779,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5040,-4.9083,-256.2000,-0.5040,31.8682,40.6337,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39.0212,34.1066,12.5230,-0.0829,0.0000,0.1800,1.6200,0.6400,0.0000,-0.3952,-0.2802,0.0017,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1014,1014,0.0835,-0.0353,-0.0638,-0.0182,0.0133,0.9995,-0.1133,0.6737,0.1167,-0.6771,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5060,-4.9083,-256.2000,-0.5060,31.8368,40.6077,0.0300,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38.9863,34.0862,12.5021,0.0000,0.0000,0.1200,1.6200,0.6400,0.0000,-0.3954,-0.2800,0.0017,996,1502,1527,1502,2008,1000,1505,1000,1000,1003,1005,1014,1014,0.0577,-0.0342,-0.0645,-0.0195,0.0157,1.0001,-0.1137,0.6737,0.1170,-0.6771,0.8627,0.2400,0.1321,0.8627,0.2400,0.1321,0.3000,0.0600,0.0002,0,-4.9083,-256.2000,-0.5060,-4.9083,-256.2000,-0.5060,31.8053,40.5818,0.0200,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
