-5.14872e-07i + -1.0472e-07j + -9.07571e-07k + 1
-2.51327e-06i + 2.36492e-06j + -5.51524e-06k + 1
2.96736e-07i + -3.491e-08j + -9.05044e-06k + 1
8.55211e-07i + 2.7838e-06j + -2.97579e-06k + 1
4.47677e-06i + 3.71755e-06j + -5.55887e-06k + 1
-4.79966e-06i + 6.33555e-06j + -3.3074e-06k + 1
-4.86074e-06i + 1.09694e-05j + -1.03673e-05k + 1
-4.8782e-06i + 1.02713e-05j + -1.07076e-05k + 1
-1.01229e-06i + 2.13803e-06j + -7.84525e-06k + 1
-2.55691e-06i + 4.04044e-06j + -4.38078e-06k + 1
-1.46608e-06i + -1.94604e-06j + -5.65487e-06k + 1
-7.24312e-07i + -1.0472e-06j + -6.31809e-06k + 1
-1.98095e-06i + 3.61283e-06j + -5.84685e-06k + 1
2.61801e-08i + 3.78736e-06j + -1.16326e-05k + 1
-5.46288e-06i + 1.85878e-06j + -8.47357e-06k + 1
1.67535e-06i + 4.04876e-06j + -3.16746e-06k + 1
-4.24115e-06i + 2.97579e-06j + -4.9131e-06k + 1
2.76635e-06i + 3.56047e-06j + -6.51008e-06k + 1
5.00037e-06i + 1.9635e-06j + -6.39663e-06k + 1
-2.42601e-06i + -9.5993e-08j + -7.67945e-06k + 1
3.00197e-06i + 6.34427e-06j + -1.00182e-05k + 1
-2.6529e-06i + 4.59022e-06j + -2.89725e-06k + 1
-3.64774e-06i + 7.05986e-06j + 2.79253e-07k + 1
-1.43117e-06i + -4.36332e-08j + -4.20624e-06k + 1
-2.93215e-06i + 3.35103e-06j + -7.28675e-06k + 1
-3.39467e-06i + 6.08247e-06j + -2.45219e-06k + 1
-3.58665e-06i + -1.02102e-06j + -4.21497e-06k + 1
-5.92599e-06i + 3.41246e-06j + -8.70134e-06k + 1
-4.45059e-06i + 8.37758e-07j + -2.26893e-07k + 1
6.63225e-07i + 2.11185e-06j + 6.02139e-07k + 1
-5.29707e-06i + -1.16937e-06j + -3.9619e-06k + 1
-1.68424e-06i + 2.53073e-07j + -7.77544e-06k + 1
-3.1765e-06i + 4.34587e-06j + -9.07571e-07k + 1
1.25664e-06i + 3.41212e-06j + -3.57793e-06k + 1
-1.02102e-06i + 6.95514e-06j + -4.04916e-06k + 1
-5.55887e-06i + 2.53073e-06j + -6.05629e-06k + 1
-3.09796e-06i + -2.3562e-07j + -2.25147e-06k + 1
-1.11701e-06i + 4.1277e-06j + -6.39663e-06k + 1
-2.74889e-06i + 1.94604e-06j + -3.44703e-06k + 1
-4.96546e-06i + 1.8675e-06j + -5.62869e-06k + 1
-7.39946e-06i + 4.73809e-06j + -1.71898e-06k + 1
-2.61799e-06i + 5.03528e-06j + -9.94838e-07k + 1
-1.46608e-06i + 1.5708e-06j + -1.19555e-06k + 1
-1.09956e-06i + 4.59022e-06j + -1.6057e-06k + 1
-1.1781e-06i + 2.00713e-07j + -7.09476e-06k + 1
-1.54462e-06i + 6.93768e-06j + -6.75442e-06k + 1
-4.05789e-06i + 1.64934e-06j + -6.16974e-06k + 1
-3.01942e-06i + 2.60927e-06j + -6.98132e-07k + 1
-1.93732e-06i + 1.01229e-06j + -3.79609e-06k + 1
-8.72664e-09i + 8.46485e-07j + -7.24312e-06k + 1
-2.03331e-06i + 3.81354e-06j + -3.20268e-06k + 1
-4.37205e-06i + 6.41409e-06j + -2.96706e-06k + 1
-1.75423e-06i + 9.26863e-06j + -3.82265e-06k + 1
-2.9147e-06i + 2.89725e-06j + -6.73697e-06k + 1
-9.33751e-07i + 1.24791e-06j + -2.54818e-06k + 1
-1.09956e-06i + 5.73341e-06j + -2.33874e-06k + 1
1.43117e-06i + 1.80642e-06j + -4.76475e-06k + 1
3.6041e-06i + 6.68461e-06j + -3.1765e-06k + 1
-8.98844e-07i + 4.96546e-06j + -7.48746e-06k + 1
1.16064e-06i + 6.60607e-06j + -6.33555e-06k + 1
-4.32842e-06i + 2.93215e-06j + -6.73697e-06k + 1
-7.97615e-06i + 3.22886e-06j + -7.24312e-06k + 1
4.83456e-06i + 6.20465e-06j + -8.21177e-06k + 1
-1.37008e-06i + 7.41765e-06j + -2.81871e-06k + 1
-3.14159e-06i + 5.20108e-06j + -1.48353e-06k + 1
7.8532e-08i + 2.64391e-06j + -1.12562e-06k + 1
3.08923e-06i + 7.05113e-06j + 1.26536e-06k + 1
-6.63225e-07i + 7.15585e-07j + -3.57793e-06k + 1
-8.99717e-06i + 2.45219e-06j + -6.20465e-06k + 1
-1.48353e-06i + 6.6497e-06j + -5.84685e-07k + 1
-4.2237e-06i + 2.90597e-06j + -4.39823e-06k + 1
-5.25344e-06i + 2.77507e-06j + -2.96706e-07k + 1
3.57792e-07i + 2.75762e-06j + -2.23402e-06k + 1
1.6057e-06i + 3.71755e-06j + -5.46288e-06k + 1
1.9984e-06i + 1.38754e-06j + -9.93965e-06k + 1
-1.51844e-06i + 1.23918e-06j + -8.06342e-06k + 1
-3.40339e-07i + -1.15192e-06j + -1.03847e-05k + 1
-3.42991e-06i + -8.72752e-07j + -1.82405e-06k + 1
-7.29548e-06i + 3.5692e-06j + -3.62156e-06k + 1
-6.12611e-06i + 4.66003e-06j + -4.16261e-06k + 1
-7.41765e-07i + 1.1781e-06j + -8.3514e-06k + 1
